color,r,g,b,matrice1,matrice,english-words,english-words-code,matrice_clean,tokens,Lab,color_word_similarity_self,color_word_top_terms,Top Terms (pretty)
grey,170,170,170,Cover ,lose,respectful effective apposite precary,precary,lose,['lose'],"(np.float32(69.610176), np.float32(-1.4202669e-05), np.float32(2.682209e-05))",0.6282,"[[""grow"", 0.7286], [""block"", 0.6958], [""drop"", 0.6958], [""jump"", 0.658], [""array"", 0.6394], [""scale"", 0.6309]]",grow:0.73; block:0.70; drop:0.70; jump:0.66; array:0.64; scale:0.63
pink,250,0,90,Category ,place,incredibily exquisite and ambitious,ambitious,place,['place'],"(np.float32(53.024544), np.float32(0.6336842), np.float32(0.18980744))",0.6602,"[[""cry"", 0.6816], [""place"", 0.6602], [""jump"", 0.6153], [""cheer"", 0.5883], [""block"", 0.58], [""drop"", 0.58]]",cry:0.68; place:0.66; jump:0.62; cheer:0.59; block:0.58; drop:0.58
gold,250,200,0,Pull ,hide,undepartable preflorating technocracy lotiform,technocracy lotiform,hide,['hide'],"(np.float32(82.72002), np.float32(0.028103823), np.float32(0.65591455))",0.5521,"[[""jump"", 0.7173], [""block"", 0.7014], [""drop"", 0.7014], [""grow"", 0.7012], [""array"", 0.6552], [""hide"", 0.5521]]",jump:0.72; block:0.70; drop:0.70; grow:0.70; array:0.66; hide:0.55
nude,250,180,120,Approach ,jump,felicitously deft satisfied unextenuable,unextenuable,jump,['jump'],"(np.float32(78.652), np.float32(0.14744094), np.float32(0.3164365))",0.7237,"[[""jump"", 0.7237], [""block"", 0.71], [""drop"", 0.71], [""grow"", 0.6728], [""array"", 0.6307], [""place"", 0.5884]]",jump:0.72; block:0.71; drop:0.71; grow:0.67; array:0.63; place:0.59
orange,250,110,0,Hit ,drop,blurry artesian awesome,blurry artesian,drop,['drop'],"(np.float32(62.912445), np.float32(0.38728538), np.float32(0.55652946))",0.6465,"[[""jump"", 0.6771], [""cry"", 0.6608], [""block"", 0.6465], [""drop"", 0.6465], [""place"", 0.6133], [""hide"", 0.5826]]",jump:0.68; cry:0.66; block:0.65; drop:0.65; place:0.61; hide:0.58
white,255,255,255,Hope ,block,unlavish analeptical,analeptical,block,['block'],"(np.float32(100.0), np.float32(-1.9092113e-05), np.float32(3.632158e-05))",0.6526,"[[""grow"", 0.6824], [""jump"", 0.6688], [""block"", 0.6526], [""drop"", 0.6526], [""array"", 0.6095], [""lose"", 0.5697]]",grow:0.68; jump:0.67; block:0.65; drop:0.65; array:0.61; lose:0.57
blue,0,0,255,Collect ,glean,"daintily perfect, intelligent photopathy",photopathy,glean,['glean'],"(np.float32(32.29567), np.float32(0.61863744), np.float32(-0.84263515))",0.7599,"[[""glean"", 0.7599], [""cheer"", 0.7112], [""lose"", 0.5309], [""place"", 0.5085], [""block"", 0.4508], [""drop"", 0.4508]]",glean:0.76; cheer:0.71; lose:0.53; place:0.51; block:0.45; drop:0.45
green,0,255,0,Transition ,grow,bulbous spontaneous heroic,bulbous heroic,grow,['grow'],"(np.float32(87.7351), np.float32(-0.6733048), np.float32(0.6498414))",0.829,"[[""grow"", 0.829], [""array"", 0.6916], [""scale"", 0.6717], [""block"", 0.6331], [""drop"", 0.6331], [""jump"", 0.577]]",grow:0.83; array:0.69; scale:0.67; block:0.63; drop:0.63; jump:0.58
red,255,0,0,Limit ,cry,"candid apophantic, distinct and radiant",apophantic,cry,['cry'],"(np.float32(53.240585), np.float32(0.62572116), np.float32(0.52502143))",0.7181,"[[""cry"", 0.7181], [""place"", 0.624], [""jump"", 0.6048], [""hide"", 0.5721], [""block"", 0.5589], [""drop"", 0.5589]]",cry:0.72; place:0.62; jump:0.60; hide:0.57; block:0.56; drop:0.56
black,0,0,0,Order ,scale,undertreated paleoatavistic obeyable swabble,swabble,scale,['scale'],"(np.float32(0.0), np.float32(0.0), np.float32(0.0))",0.9098,"[[""scale"", 0.9098], [""grow"", 0.5359], [""block"", 0.51], [""drop"", 0.51], [""lose"", 0.4974], [""shrink"", 0.4803]]",scale:0.91; grow:0.54; block:0.51; drop:0.51; lose:0.50; shrink:0.48
brown,180,50,0,Learn,shrink,abundantly notable and unique submissive,notable submissive,shrink,['shrink'],"(np.float32(41.19643), np.float32(0.39599183), np.float32(0.4167636))",0.567,"[[""scale"", 0.6727], [""block"", 0.6367], [""drop"", 0.6367], [""jump"", 0.6212], [""cry"", 0.5999], [""place"", 0.5828]]",scale:0.67; block:0.64; drop:0.64; jump:0.62; cry:0.60; place:0.58
yellow,255,255,0,Structure ,array,exhilerating redressible authority plausible,redressible authority,array,['array'],"(np.float32(97.13951), np.float32(-0.16839592), np.float32(0.7381104))",0.6875,"[[""grow"", 0.7586], [""jump"", 0.7075], [""block"", 0.6924], [""drop"", 0.6924], [""array"", 0.6875], [""hide"", 0.5226]]",grow:0.76; jump:0.71; block:0.69; drop:0.69; array:0.69; hide:0.52
purple,180,50,255,Free ,cheer,"perfectly great - imaginative, brave, gifted",brave,cheer,['cheer'],"(np.float32(50.92563), np.float32(0.62417656), np.float32(-0.5982773))",0.7501,"[[""cheer"", 0.7501], [""glean"", 0.7329], [""place"", 0.574], [""lose"", 0.5267], [""block"", 0.4936], [""drop"", 0.4936]]",cheer:0.75; glean:0.73; place:0.57; lose:0.53; block:0.49; drop:0.49
